Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31
1,2.633,3.000,3.400,3.933,4.467,4.967,5.500,6.100,6.767,7.333,7.900,8.400,8.800,9.433,9.833,10.467,10.933,,,,,,,,,,,,,,
2,11.967,12.300,12.733,13.267,14.067,14.933,15.333,15.833,16.333,16.967,17.733,18.333,19.100,19.800,20.433,20.967,21.633,22.200,22.800,23.233,23.733,24.300,24.833,25.367,,,,,,,
3,26.333,26.833,27.333,27.800,28.300,29.133,29.733,30.267,31.000,31.600,32.100,32.733,33.300,33.767,34.400,,,,,,,,,,,,,,,,
4,35.267,35.567,36.567,37.233,37.933,38.700,39.200,39.800,40.433,41.000,41.567,42.200,42.733,43.233,44.100,44.700,45.167,45.733,,,,,,,,,,,,,
5,46.867,48.133,49.167,49.933,50.700,51.500,52.167,52.733,53.233,53.933,54.367,54.967,55.533,56.167,56.933,57.500,58.167,59.067,59.500,,,,,,,,,,,,
6,60.667,61.700,62.333,63.067,63.833,64.567,65.200,65.733,66.600,67.233,67.933,68.633,69.333,70.200,71.600,,,,,,,,,,,,,,,,
7,72.233,72.700,73.267,73.833,74.367,75.200,75.633,76.367,77.000,77.800,78.467,79.167,80.000,,,,,,,,,,,,,,,,,,
8,81.700,82.600,83.533,84.167,84.833,85.600,86.367,87.167,87.967,88.633,89.400,89.900,90.400,91.533,92.267,93.033,,,,,,,,,,,,,,,
9,93.767,94.300,94.833,95.467,96.333,97.000,97.733,98.467,99.167,99.900,100.767,101.567,102.333,,,,,,,,,,,,,,,,,,
10,103.433,104.133,104.833,105.467,106.300,107.067,107.733,108.433,108.900,109.433,110.000,110.567,111.100,111.833,112.633,113.000,,,,,,,,,,,,,,,
11,114.400,115.100,115.567,116.400,117.033,117.600,118.267,118.933,119.567,120.400,121.333,122.067,122.500,,,,,,,,,,,,,,,,,,
12,123.100,123.700,124.300,125.200,125.833,126.333,126.767,127.200,127.733,128.767,129.400,130.200,130.867,131.933,,,,,,,,,,,,,,,,,
13,133.867,135.233,136.000,136.833,137.500,137.967,138.333,138.933,139.600,140.200,140.833,141.333,141.833,142.400,143.000,143.633,144.667,145.200,145.733,146.333,147.133,147.767,148.933,149.700,150.233,150.767,151.267,151.967,152.433,152.933,153.367
14,153.800,154.267,155.100,156.033,156.833,157.367,158.100,158.767,159.400,160.033,160.667,161.233,,,,,,,,,,,,,,,,,,,
15,162.167,162.967,163.467,164.000,164.733,165.300,165.900,166.467,167.167,167.933,168.533,169.433,170.200,,,,,,,,,,,,,,,,,,
16,171.200,171.833,172.533,173.367,174.033,174.800,175.300,176.167,176.967,177.933,178.633,179.333,179.967,,,,,,,,,,,,,,,,,,
