Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22
1,4.600,5.167,6.000,6.967,7.700,8.467,9.133,9.833,10.533,11.100,11.733,12.533,13.133,13.933,14.467,15.367,16.000,16.633,17.100,18.000,18.800,
2,20.467,21.467,22.200,23.167,23.767,24.367,25.133,25.700,26.333,26.867,27.533,28.067,28.933,29.600,30.200,30.933,,,,,,
3,32.800,33.667,34.500,35.467,36.300,36.833,37.500,38.167,38.767,39.267,39.933,40.400,41.000,41.500,42.267,42.900,,,,,,
4,44.767,45.600,46.800,47.700,48.100,49.000,49.567,50.267,50.833,51.533,52.333,52.900,53.533,54.233,54.767,55.533,56.233,57.000,57.833,58.700,59.567,
5,62.233,63.667,64.300,64.933,65.733,66.300,66.933,67.533,68.067,68.800,69.500,70.167,70.667,71.300,71.867,72.433,73.467,74.067,74.800,75.433,,
6,77.267,77.767,78.500,79.700,80.300,81.133,81.833,82.500,83.200,83.733,84.400,85.000,85.600,86.133,86.867,87.567,88.167,,,,,
7,89.800,90.267,91.000,92.200,92.900,93.667,94.233,94.833,95.467,96.033,96.567,97.300,98.000,98.700,99.367,99.867,100.633,,,,,
8,102.300,102.933,103.933,104.700,105.367,105.933,106.533,107.100,107.733,108.433,108.933,109.500,110.233,110.733,111.533,112.567,,,,,,
9,114.733,115.333,116.200,116.633,117.733,118.567,119.233,119.933,120.600,121.333,121.867,122.500,123.200,123.800,124.500,125.133,125.767,126.467,127.133,127.667,128.333,129.333
10,133.167,133.700,134.733,135.567,136.200,137.033,137.933,138.633,139.233,139.767,140.400,141.167,141.700,142.400,142.900,143.467,144.000,144.767,,,,
11,146.467,146.867,147.500,148.500,149.200,149.967,150.600,151.200,151.767,152.267,152.933,153.900,154.433,155.067,,,,,,,,
12,157.100,157.933,158.700,159.433,160.100,160.733,161.567,162.533,163.233,,,,,,,,,,,,,
13,164.533,165.033,165.833,166.867,167.800,168.433,169.233,170.000,170.933,171.600,172.267,172.967,173.667,174.333,175.033,175.633,,,,,,
14,177.500,178.333,179.500,,,,,,,,,,,,,,,,,,,
