Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33,Chew_34,Chew_35,Chew_36,Chew_37,Chew_38,Chew_39,Chew_40,Chew_41,Chew_42
1,2.533,3.267,3.767,4.333,4.800,5.167,5.533,6.067,6.633,7.000,7.600,8.067,8.667,9.133,9.800,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.233,11.633,12.467,12.867,13.233,13.800,14.167,14.700,15.033,15.867,16.567,17.167,17.600,18.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19.167,19.700,20.133,20.567,21.200,21.800,22.467,23.000,23.433,23.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24.567,25.000,25.667,26.167,26.733,27.367,27.967,28.467,29.067,29.600,30.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30.700,31.367,31.700,32.267,32.700,34.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35.167,35.633,36.200,36.900,37.300,37.767,38.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,39.933,40.933,42.300,43.167,43.600,44.000,44.900,45.367,46.000,46.500,47.033,47.533,48.033,48.533,49.233,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,51.067,51.533,52.233,52.833,53.467,53.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,54.533,55.067,55.600,56.133,56.633,57.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,58.033,58.867,59.267,59.900,60.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,60.900,61.433,61.900,62.433,62.933,63.500,64.200,64.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,66.800,67.400,68.867,69.633,70.233,70.800,71.433,72.000,72.633,73.133,73.633,74.167,74.633,75.200,75.767,76.267,,,,,,,,,,,,,,,,,,,,,,,,,,
13,77.200,77.900,78.367,78.933,79.400,79.967,80.467,81.133,81.800,82.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,84.100,84.633,85.067,85.500,86.033,86.567,87.100,87.733,88.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,88.667,89.500,89.900,90.467,91.000,91.533,92.233,92.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,93.733,94.533,95.000,95.400,95.867,96.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,97.067,97.600,98.467,99.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,99.400,100.067,100.667,101.333,101.767,102.367,103.133,103.600,104.200,104.700,105.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,106.867,107.367,107.800,108.233,108.700,109.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,110.133,110.500,110.967,111.400,111.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,113.100,113.667,114.267,114.700,115.133,115.567,116.067,116.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,117.233,117.667,118.133,118.533,119.167,119.667,120.267,120.833,121.467,121.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,122.633,123.100,123.567,124.033,124.667,125.167,125.767,126.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,128.433,129.133,129.633,130.033,130.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,131.200,131.933,132.533,133.133,133.700,134.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,134.767,135.400,135.933,136.300,136.967,137.433,137.933,138.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,139.067,139.933,140.433,141.067,141.833,143.433,144.000,144.633,145.167,145.867,146.533,147.267,147.933,148.533,149.033,149.733,150.833,151.600,153.033,153.700,154.200,155.100,155.800,157.633,158.400,159.267,160.600,161.767,162.633,165.300,167.233,167.867,168.667,171.467,172.867,173.833,174.600,176.100,176.967,178.367,179.133,179.733
