Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
1,4.933,5.833,6.700,7.233,7.767,8.200,8.667,9.267,9.800,10.533,11.133,11.900,12.667,13.200,,,,,,,
2,14.067,15.133,16.533,16.933,17.367,18.133,18.700,19.133,19.600,20.033,20.433,20.933,21.567,22.033,22.567,23.100,23.567,24.033,24.533,24.933,
3,27.500,27.967,28.433,29.100,29.633,30.300,30.833,31.333,31.900,32.433,33.000,33.533,34.000,34.667,35.200,35.767,,,,,
4,37.000,38.000,38.533,38.933,39.333,39.800,40.133,40.467,41.100,41.533,42.167,42.733,43.200,,,,,,,,
5,45.600,46.500,47.000,47.500,47.967,48.400,48.800,49.400,49.867,50.300,50.733,51.267,51.900,52.333,52.800,,,,,,
6,53.733,54.233,54.600,54.933,55.433,55.767,56.333,56.733,57.233,57.767,58.233,58.633,59.100,59.567,60.133,,,,,,
7,63.333,64.267,64.800,65.333,66.267,66.733,67.133,67.633,68.167,68.667,69.133,69.600,70.133,70.700,71.133,,,,,,
8,72.100,72.600,73.000,73.500,73.967,74.500,75.200,75.833,76.400,76.933,77.433,77.833,78.467,,,,,,,,
9,81.433,83.133,83.767,84.200,84.733,85.267,85.733,86.200,86.700,87.267,87.933,88.500,89.067,89.567,90.033,90.533,91.133,91.667,92.667,,
10,95.700,96.467,97.233,97.567,98.067,98.533,98.933,99.500,100.000,100.567,101.067,101.700,102.500,103.067,103.533,104.067,104.700,105.267,105.933,,
11,108.667,109.600,110.000,110.400,110.967,111.400,111.767,112.233,112.667,113.167,113.900,114.300,114.867,115.333,115.800,116.333,117.000,117.533,118.633,119.333,119.800
12,121.333,121.800,122.167,122.833,123.300,123.733,124.300,124.733,125.267,125.700,126.067,126.467,126.867,127.433,127.867,128.367,128.767,129.367,130.200,,
13,131.933,132.600,133.067,133.500,134.200,134.700,135.233,135.900,137.067,,,,,,,,,,,,
14,139.467,140.133,140.933,141.400,141.867,142.333,142.800,143.267,143.700,144.200,144.667,145.200,145.833,146.267,146.767,147.400,147.900,148.900,149.400,150.000,151.533
15,156.033,156.833,157.567,158.667,159.200,159.633,160.133,160.500,161.033,161.700,162.133,162.533,162.967,163.433,163.933,164.433,164.900,165.633,166.267,166.900,167.700
16,169.800,170.600,171.067,171.500,171.967,172.500,173.033,173.767,174.433,175.133,176.167,177.200,178.033,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
