Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30
1,17.333,17.900,19.000,19.533,20.167,20.633,21.133,22.433,24.067,,,,,,,,,,,,,,,,,,,,,
2,26.433,27.000,28.033,28.467,28.933,29.433,,,,,,,,,,,,,,,,,,,,,,,,
3,32.433,33.133,33.633,34.000,34.433,35.067,35.800,,,,,,,,,,,,,,,,,,,,,,,
4,37.767,38.233,38.733,39.133,39.800,,,,,,,,,,,,,,,,,,,,,,,,,
5,42.533,43.233,43.733,44.133,44.700,46.133,46.733,47.433,47.967,49.533,50.533,51.900,,,,,,,,,,,,,,,,,,
6,57.233,57.833,58.333,58.900,59.333,59.733,60.367,,,,,,,,,,,,,,,,,,,,,,,
7,61.767,62.200,62.633,63.267,63.767,64.367,64.800,65.267,66.133,66.733,67.733,69.100,70.433,71.000,72.867,73.433,74.533,78.767,79.367,80.700,83.733,88.200,89.200,90.400,91.033,,,,,
8,99.367,99.900,100.500,100.967,101.433,102.000,102.533,103.167,103.833,,,,,,,,,,,,,,,,,,,,,
9,105.167,105.667,106.333,106.900,107.433,108.033,108.800,109.400,110.167,110.733,111.500,112.333,114.100,116.000,117.233,120.133,122.333,124.567,125.333,126.567,130.567,,,,,,,,,
10,135.667,136.133,136.767,137.667,138.067,138.533,139.000,139.533,140.067,140.733,141.267,142.000,142.700,143.367,144.267,145.233,145.933,155.300,156.267,156.933,157.733,160.000,160.567,163.967,165.667,167.033,169.233,170.067,177.033,177.900
