Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26
1,4.067,4.467,5.167,5.600,6.167,6.767,7.700,8.133,9.100,9.733,10.500,11.067,11.767,12.433,13.333,14.367,14.867,,,,,,,,,
2,17.033,17.733,18.233,18.833,19.533,20.033,20.933,21.600,22.200,22.667,23.600,24.300,,,,,,,,,,,,,,
3,26.500,27.567,28.100,29.100,29.567,30.500,31.300,32.033,32.467,32.967,33.467,34.133,35.100,35.567,36.200,36.733,38.400,39.033,40.200,40.833,41.467,,,,,
4,44.833,45.833,47.100,47.600,48.200,48.867,49.800,50.400,51.233,51.933,52.633,53.233,54.333,,,,,,,,,,,,,
5,57.333,58.400,58.933,59.633,60.133,60.767,61.767,62.667,63.100,64.067,,,,,,,,,,,,,,,,
6,68.600,69.467,70.033,70.933,71.567,72.067,72.933,73.400,74.233,74.833,75.867,76.900,77.733,78.700,79.467,80.233,81.000,,,,,,,,,
7,82.800,83.700,84.433,85.367,86.300,87.133,88.100,88.767,89.500,90.067,90.700,91.767,92.700,93.500,94.167,95.200,,,,,,,,,,
8,100.233,101.300,101.900,102.800,103.533,104.267,104.867,105.600,106.400,106.900,108.000,108.700,109.367,110.767,,,,,,,,,,,,
9,115.667,116.500,117.100,117.700,118.167,118.800,119.500,120.233,120.900,121.400,122.167,122.800,123.567,125.200,125.900,,,,,,,,,,,
10,129.833,130.533,131.267,131.933,132.533,133.200,133.967,134.667,135.467,136.467,137.000,137.667,138.500,139.133,139.900,140.633,143.000,144.267,,,,,,,,
11,149.767,150.200,151.133,152.200,152.800,153.567,154.300,155.100,155.933,156.567,157.500,158.367,159.100,159.800,160.567,161.367,162.167,162.900,163.633,165.300,166.200,167.200,168.367,172.800,173.233,174.067
12,177.167,178.200,178.867,179.533,,,,,,,,,,,,,,,,,,,,,,
