Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29
1,4.467,4.967,5.467,5.933,6.333,6.867,7.300,7.833,8.400,8.833,9.267,9.900,10.400,10.900,11.433,12.000,12.733,13.300,14.433,15.033,15.633,,,,,,,,
2,18.033,18.500,19.067,19.500,19.967,20.467,21.067,21.533,22.133,22.633,23.067,23.700,24.300,24.733,25.233,25.867,26.500,27.033,27.600,28.233,,,,,,,,,
3,30.100,30.667,31.200,31.567,32.400,33.000,33.567,34.100,34.700,35.367,36.067,36.600,37.300,38.633,39.433,39.967,41.733,,,,,,,,,,,,
4,43.833,44.700,45.067,45.500,46.200,46.833,47.333,47.800,48.333,48.933,49.467,50.033,50.533,51.133,51.867,52.433,52.933,53.300,,,,,,,,,,,
5,54.500,54.933,55.433,55.933,57.300,58.233,59.200,59.967,60.367,60.933,,,,,,,,,,,,,,,,,,,
6,62.767,64.267,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,65.733,66.300,66.900,67.567,,,,,,,,,,,,,,,,,,,,,,,,,
8,69.333,71.767,72.233,72.633,73.133,73.533,74.067,74.467,74.867,75.400,75.800,,,,,,,,,,,,,,,,,,
9,77.567,78.067,78.500,78.867,79.567,80.067,80.600,,,,,,,,,,,,,,,,,,,,,,
10,82.067,82.800,83.600,84.133,84.567,85.067,85.667,86.333,86.867,87.333,88.000,88.667,,,,,,,,,,,,,,,,,
11,89.667,90.300,90.833,91.300,91.933,92.533,93.067,93.667,94.200,94.800,95.367,96.267,96.933,97.367,,,,,,,,,,,,,,,
12,100.700,101.300,101.833,102.333,102.800,103.367,104.033,104.533,105.100,105.633,106.400,107.133,107.767,108.333,108.800,109.300,110.000,110.600,111.100,111.667,112.567,112.967,,,,,,,
13,115.567,116.033,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,118.467,119.267,119.667,120.067,120.767,121.400,122.367,122.867,123.567,124.300,125.000,125.600,126.300,127.400,127.933,128.633,129.267,129.833,130.500,131.967,132.533,133.000,133.633,134.233,134.800,135.433,136.067,136.800,137.467
15,140.800,141.167,141.800,142.467,143.700,144.200,145.067,145.667,146.133,146.667,147.167,147.767,148.433,149.167,149.900,150.333,150.867,152.467,153.100,,,,,,,,,,
16,155.133,155.767,156.300,156.733,157.333,157.967,158.500,159.100,159.733,160.367,161.433,162.033,162.533,163.133,163.833,164.433,166.133,,,,,,,,,,,,
17,168.700,171.900,172.567,173.200,173.700,174.367,175.033,175.500,176.167,176.767,177.567,178.033,178.900,179.433,,,,,,,,,,,,,,,
