Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15
1,3.433,4.333,4.900,5.567,6.200,6.800,7.933,8.933,,,,,,,
2,10.067,10.633,11.300,12.167,13.100,13.733,14.333,15.200,16.200,16.733,,,,,
3,18.500,19.067,19.833,20.500,21.200,21.833,22.567,23.167,,,,,,,
4,26.067,26.500,27.033,27.900,28.833,29.500,30.233,31.300,33.467,,,,,,
5,34.200,34.733,35.333,35.967,36.733,37.567,38.233,,,,,,,,
6,39.833,40.433,40.933,41.400,42.067,42.667,43.267,43.900,44.467,45.200,45.933,46.600,47.167,,
7,47.833,48.333,49.300,49.967,,,,,,,,,,,
8,51.000,51.433,52.067,52.667,53.300,54.267,54.833,55.333,55.900,56.900,57.667,58.367,59.167,59.933,60.933
9,62.567,63.100,63.567,64.333,65.000,65.867,66.367,,,,,,,,
10,67.800,68.300,68.700,69.267,69.900,70.500,71.167,71.800,72.300,72.700,73.200,,,,
11,74.300,74.833,75.400,76.100,76.667,77.367,,,,,,,,,
12,78.300,79.133,79.700,80.233,80.767,82.833,86.267,86.700,87.200,87.700,88.900,,,,
13,89.967,90.867,91.467,92.033,92.733,93.367,94.200,94.767,95.500,96.100,96.733,97.333,97.833,98.567,99.267
14,100.833,101.633,102.633,103.200,103.767,104.433,104.967,105.433,106.033,106.800,,,,,
15,108.200,109.033,109.700,110.300,111.267,111.900,112.467,113.100,113.867,114.467,116.300,117.033,117.700,118.367,118.933
16,121.200,122.000,122.733,123.300,123.967,124.500,125.233,125.800,126.467,127.300,128.033,128.833,,,
17,131.000,131.767,132.367,132.667,133.233,133.933,134.700,,,,,,,,
18,135.767,136.233,136.600,137.267,137.567,138.167,139.033,140.000,140.567,141.200,141.933,142.467,143.000,,
19,145.233,146.267,146.800,147.633,148.367,149.067,149.767,150.367,151.100,151.767,,,,,
20,153.233,154.067,154.633,155.300,155.833,156.967,157.767,158.433,,,,,,,
21,159.200,160.033,160.700,161.367,162.067,,,,,,,,,,
22,163.233,163.733,164.233,164.733,165.233,165.833,166.267,166.800,167.200,,,,,,
23,169.200,170.000,170.600,171.300,171.633,172.433,173.067,173.733,174.500,175.133,175.800,176.433,177.033,177.700,178.300
24,179.533,,,,,,,,,,,,,,
