Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,4.700,5.633,6.100,6.700,7.467,8.233,8.867,9.500,10.233,10.900,11.433,11.967,12.700,13.367,13.900,14.700,,,
2,16.433,16.933,17.400,18.000,18.600,19.167,19.667,20.133,20.967,21.800,22.667,23.200,,,,,,,
3,24.000,24.500,25.067,25.600,26.433,27.033,27.833,28.433,29.033,29.767,30.400,31.200,32.100,32.700,34.167,,,,
4,36.000,36.767,37.233,37.833,38.600,39.200,40.033,40.967,41.467,42.167,42.700,43.200,43.867,44.600,45.267,,,,
5,49.300,50.900,51.333,51.867,52.533,53.300,54.000,54.667,55.100,55.667,,,,,,,,,
6,56.767,57.267,57.833,58.600,59.233,59.967,60.433,61.033,61.633,62.067,,,,,,,,,
7,63.233,64.067,64.733,65.267,65.867,66.500,67.100,67.700,68.267,69.033,69.767,,,,,,,,
8,71.067,71.733,72.267,72.833,73.367,74.033,74.700,75.267,75.933,76.567,77.033,77.667,,,,,,,
9,79.767,80.400,80.967,81.633,82.233,82.900,83.700,84.300,84.800,85.800,,,,,,,,,
10,87.033,87.700,88.267,89.533,90.367,90.833,91.400,92.033,92.600,93.133,93.800,94.500,95.467,96.233,,,,,
11,100.433,101.367,101.833,102.367,103.167,103.767,104.500,105.067,105.600,106.233,106.967,107.600,,,,,,,
12,108.633,109.233,109.667,110.467,111.100,111.700,112.267,113.033,113.633,114.500,115.000,115.500,,,,,,,
13,118.300,119.167,119.733,120.367,120.933,121.600,122.200,122.833,123.467,124.167,124.767,125.367,125.767,126.233,126.733,127.700,128.267,129.300,
14,132.133,134.300,134.700,135.200,136.000,136.500,137.133,137.733,138.400,138.967,139.533,140.200,140.867,141.433,142.100,,,,
15,143.000,143.533,144.100,144.833,145.533,146.067,146.700,147.267,147.967,148.600,149.267,150.000,150.667,151.600,152.200,,,,
16,155.300,156.800,157.267,157.833,158.567,159.167,159.700,160.333,160.800,161.500,162.300,163.067,163.933,164.667,165.333,166.167,166.867,167.433,168.567
17,171.967,173.067,173.767,174.367,174.800,175.233,175.767,176.400,177.067,177.533,178.133,178.667,179.333,179.900,,,,,
