Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33
1,5.233,5.867,6.833,7.433,7.800,8.333,8.733,9.033,9.400,9.867,10.267,11.100,11.600,,,,,,,,,,,,,,,,,,,,
2,13.300,13.800,14.333,14.733,15.300,15.733,16.100,16.600,17.000,17.567,17.967,18.533,18.967,19.367,19.800,20.500,21.267,,,,,,,,,,,,,,,,
3,22.467,23.767,24.067,24.433,24.933,25.600,26.000,26.433,27.133,27.600,28.067,28.467,29.000,29.467,29.900,30.433,31.367,31.900,32.433,,,,,,,,,,,,,,
4,33.267,33.700,34.033,34.467,34.967,35.433,35.867,36.433,36.900,37.433,37.967,38.333,39.133,39.667,40.100,40.467,41.267,41.900,42.367,43.067,43.600,44.367,45.300,45.933,,,,,,,,,
5,46.933,47.367,47.733,48.100,48.567,48.967,49.667,50.067,50.700,51.433,51.967,52.500,53.233,53.800,54.400,54.900,55.467,55.933,,,,,,,,,,,,,,,
6,58.500,59.100,59.500,60.500,60.767,61.133,61.733,62.400,62.867,63.300,64.200,64.833,65.267,66.000,66.400,,,,,,,,,,,,,,,,,,
7,67.500,67.933,68.333,68.733,69.133,69.700,70.133,70.633,71.133,71.600,72.100,72.467,73.133,73.467,73.867,74.400,75.100,75.467,76.300,76.967,77.633,,,,,,,,,,,,
8,78.900,79.467,79.833,80.200,80.733,81.100,81.767,82.400,82.900,83.333,83.800,84.333,85.067,85.533,85.933,86.567,87.067,87.467,88.333,88.833,89.367,89.933,90.800,,,,,,,,,,
9,91.167,91.567,92.000,92.400,92.833,93.233,93.833,94.367,94.733,95.067,95.667,96.167,96.667,97.767,,,,,,,,,,,,,,,,,,,
10,99.233,99.800,100.233,100.767,101.167,101.667,102.133,102.633,103.200,103.600,104.200,104.633,105.100,105.533,105.967,106.467,106.933,107.600,108.167,108.667,109.533,,,,,,,,,,,,
11,110.067,110.500,110.900,111.333,111.933,112.367,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,113.500,114.100,114.600,115.000,115.433,115.833,116.233,116.767,117.167,117.567,117.933,118.300,118.833,119.533,120.000,121.033,,,,,,,,,,,,,,,,,
13,122.267,122.700,123.067,123.400,123.900,124.867,125.300,125.933,126.500,126.833,127.267,128.233,128.767,129.167,129.967,130.400,131.267,,,,,,,,,,,,,,,,
14,133.567,134.133,134.500,134.900,135.533,136.100,136.600,137.100,137.733,138.367,138.800,139.333,139.767,140.167,140.533,141.067,141.833,142.233,143.233,143.833,144.367,145.033,145.800,146.300,146.767,147.767,148.333,149.000,149.567,150.200,150.667,151.233,152.033
15,152.500,152.867,153.267,153.667,154.000,154.567,155.167,155.533,156.000,156.400,157.033,157.733,158.233,158.600,159.167,160.167,160.467,,,,,,,,,,,,,,,,
16,161.033,161.600,162.000,162.467,162.933,163.333,163.667,164.033,164.967,165.467,166.133,166.633,166.967,167.567,168.033,168.467,169.200,169.900,170.633,171.200,172.767,173.367,174.033,174.933,175.633,,,,,,,,
17,177.267,177.667,177.967,178.333,179.067,179.500,179.800,,,,,,,,,,,,,,,,,,,,,,,,,,
